schema_version,config_id,scenario_id,scenario_family,description,reference_scenario_id,arrival_mode,arrival_rate_per_second,demand_multiplier,arrival_cutoff_seconds,arrival_guard,drain_rule,security_capacity,security_queue_capacity,security_service_distribution,security_service_p1_seconds,immigration_capacity,immigration_queue_capacity,immigration_service_distribution,immigration_service_p1_seconds,queue_policy,automation_mapping_mode,automation_uptake,automation_multiplier,additional_check_semantics,additional_check_probability_conventional,additional_check_probability_technology,additional_check_service_distribution,additional_check_service_p1_seconds,input_sample_id,pilot_replications,master_seed,crn_alignment_status,input_status,calibration_status,claim_ceiling,notes
1.0,OP_AVAIL_EXACT95_LOW_CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY,Capacity-availability stress cell with 32 Security and 21 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,0.9447573660171154,1.0,300,5000,FULL_DRAIN,32,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_LOW,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_LOW; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_EXACT95_LOW_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY,Capacity-availability stress cell with 36 Security and 18 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,0.9447573660171154,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,18,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_LOW,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_LOW; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_EXACT95_LOW_CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3,CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3,CAPACITY,Capacity-availability stress cell with 32 Security and 18 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,0.9447573660171154,1.0,300,5000,FULL_DRAIN,32,5000,FIXED,21.818181818,18,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_LOW,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_LOW; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_EXACT95_LOW_CAPACITY_AVAIL_SEVERE_JOINT_30_17,CAPACITY_AVAIL_SEVERE_JOINT_30_17,CAPACITY,Capacity-availability stress cell with 30 Security and 17 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,0.9447573660171154,1.0,300,5000,FULL_DRAIN,30,5000,FIXED,21.818181818,17,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_LOW,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_LOW; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY,Capacity-availability stress cell with 32 Security and 21 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,32,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 MLE_BASE; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY,Capacity-availability stress cell with 36 Security and 18 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,18,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 MLE_BASE; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3,CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3,CAPACITY,Capacity-availability stress cell with 32 Security and 18 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,32,5000,FIXED,21.818181818,18,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 MLE_BASE; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_SEVERE_JOINT_30_17,CAPACITY_AVAIL_SEVERE_JOINT_30_17,CAPACITY,Capacity-availability stress cell with 30 Security and 17 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.3642132969720073,1.0,300,5000,FULL_DRAIN,30,5000,FIXED,21.818181818,17,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 MLE_BASE; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_EXACT95_HIGH_CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY_AVAIL_SECURITY_MINUS_4,CAPACITY,Capacity-availability stress cell with 32 Security and 21 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.90635134401724,1.0,300,5000,FULL_DRAIN,32,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_HIGH,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_HIGH; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
1.0,OP_AVAIL_EXACT95_HIGH_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,CAPACITY,Capacity-availability stress cell with 36 Security and 18 Immigration positions open,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.90635134401724,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,18,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_EXACT95_HIGH,50,202607290000,PENDING_VALIDATION,FROZEN_CAPACITY_AVAILABILITY_DESIGN,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,"TASK3_CAPACITY_AVAILABILITY_STRESS_V1 EXACT95_HIGH; capacity is concurrently open service positions, not an observed roster; paired analysis requires explicit alignment PASS"
