schema_version,study_id,pairing_group_id,arrival_level_id,input_sample_id,replication_id,scenario_ids,master_seed,arrival_seed,service_seed,routing_seed,tie_seed
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R001,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,1,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290011,202608290012,202608290013,202608290014
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R002,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,2,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290021,202608290022,202608290023,202608290024
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R003,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,3,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290031,202608290032,202608290033,202608290034
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R004,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,4,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290041,202608290042,202608290043,202608290044
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R005,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,5,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290051,202608290052,202608290053,202608290054
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R006,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,6,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290061,202608290062,202608290063,202608290064
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R007,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,7,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290071,202608290072,202608290073,202608290074
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R008,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,8,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290081,202608290082,202608290083,202608290084
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R009,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,9,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290091,202608290092,202608290093,202608290094
1.0,TASK3_CAPACITY_AVAILABILITY_STRESS_V1,CRN_LOW_R010,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,10,CAPACITY_AVAIL_SECURITY_MINUS_4|CAPACITY_AVAIL_IMMIGRATION_MINUS_3|CAPACITY_AVAIL_JOINT_MINUS_4_MINUS_3|CAPACITY_AVAIL_SEVERE_JOINT_30_17,202607290000,202608290101,202608290102,202608290103,202608290104
