schema_version,config_id,scenario_id,scenario_family,description,reference_scenario_id,arrival_mode,arrival_rate_per_second,demand_multiplier,arrival_cutoff_seconds,arrival_guard,drain_rule,security_capacity,security_queue_capacity,security_service_distribution,security_service_p1_seconds,immigration_capacity,immigration_queue_capacity,immigration_service_distribution,immigration_service_p1_seconds,queue_policy,automation_mapping_mode,automation_uptake,automation_multiplier,additional_check_semantics,additional_check_probability_conventional,additional_check_probability_technology,additional_check_service_distribution,additional_check_service_p1_seconds,input_sample_id,pilot_replications,master_seed,crn_alignment_status,input_status,calibration_status,claim_ceiling,notes
1.0,OP_REFERENCE_ASSUMPTION_SANDBOX_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,REFERENCE,Named reference assumption sandbox; local-window demand plus explicit literature-context inputs,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Reference for controlled comparison; v1 implements pooled FCFS only; not an HTX site forecast
1.0,OP_CAPACITY_SECURITY_PLUS_4,CAPACITY_SECURITY_PLUS_4,CAPACITY,Add four Security lanes only,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,40,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Transparent capacity decision factor
1.0,OP_CAPACITY_IMMIGRATION_PLUS_3,CAPACITY_IMMIGRATION_PLUS_3,CAPACITY,Add three Immigration counters only,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,24,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Transparent capacity decision factor
1.0,OP_CAPACITY_BOTH_PLUS,CAPACITY_BOTH_PLUS,CAPACITY,Add four Security lanes and three Immigration counters,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,40,5000,FIXED,21.818181818,24,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Capacity interaction diagnostic
1.0,OP_DEMAND_LOW_080,DEMAND_LOW_080,DEMAND,Illustrative local-window rate multiplied by 0.8,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,0.8,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_LOW,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Illustrative sensitivity; not a measured off-peak rate
1.0,OP_DEMAND_HIGH_120,DEMAND_HIGH_120,DEMAND,Illustrative local-window rate multiplied by 1.2,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.2,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_HIGH,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Illustrative stress; not a measured peak forecast
1.0,OP_SERVICE_SG_BUS_QR_10S,SERVICE_SG_BUS_QR_10S,SERVICE_CONTEXT,MHA land bus-hall QR context at 10 seconds,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,10,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Named SG context; not the supplied corridor's measured service time
1.0,OP_SERVICE_SG_TRAIN_KIOSK_24S,SERVICE_SG_TRAIN_KIOSK_24S,SERVICE_CONTEXT,ICA Woodlands Train kiosk context at 24 seconds,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,24,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Named SG cross-checkpoint context
1.0,OP_SERVICE_SG_TRAIN_MANUAL_45S,SERVICE_SG_TRAIN_MANUAL_45S,SERVICE_CONTEXT,ICA Woodlands Train manual-counter context at 45 seconds,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,45,pooled,DISABLED,0,1,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Named SG manual proxy; fixed capacity can make this a severe stress case
1.0,OP_AUTO_HTX_TRIAL_U50_M60,AUTO_HTX_TRIAL_U50_M60,AUTOMATION,50 percent effective uptake with HTX trial multiplier 0.6,REFERENCE_ASSUMPTION_SANDBOX_V1,HPP,1.364213,1.0,300,5000,FULL_DRAIN,36,5000,FIXED,21.818181818,21,5000,FIXED,13,pooled,MULTIPLIER,0.5,0.6,NONE,0,0,UNSET,,LOCAL_WINDOW_HPP_BASE,10,2026072800,NOT_TESTED,READY_ASSUMPTION_SANDBOX,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,Overall clearance reduction mapped to eligible service demand as a scenario assumption
