table_name,ordinal,field_name,data_type,nullable,unit,description
run_manifest,1,schema_version,string,false,version,Output schema version
run_manifest,2,config_id,string,false,identifier,Operational configuration identifier
run_manifest,3,config_sha256,string,false,hex digest,SHA-256 of the exact configuration row
run_manifest,4,model_version,string,false,identifier,Model source version
run_manifest,5,scenario_id,string,false,identifier,Controlled scenario identifier
run_manifest,6,scenario_family,string,false,enum,Scenario comparison family
run_manifest,7,reference_scenario_id,string,false,identifier,Named comparison reference
run_manifest,8,input_sample_id,string,false,identifier,Outer input sample identifier
run_manifest,9,replication_id,integer,false,index,Inner replication identifier
run_manifest,10,master_seed,integer,false,seed,Configuration-level seed
run_manifest,11,arrival_seed,integer,false,seed,Arrival stream seed
run_manifest,12,service_seed,integer,false,seed,Service-demand stream seed
run_manifest,13,routing_seed,integer,false,seed,Automation and additional-check stream seed
run_manifest,14,tie_seed,integer,false,seed,Separate-lane tie-break stream seed
run_manifest,15,start_state,string,false,enum,Initial system state
run_manifest,16,arrival_mode,string,false,enum,Arrival-process mode
run_manifest,17,arrival_cutoff_seconds,number,false,seconds,Half-open arrival-window end
run_manifest,18,drain_end_seconds,number,false,seconds,Time when admitted cohort clears
run_manifest,19,drain_rule,string,false,enum,Cohort termination rule
run_manifest,20,engine_name,string,false,text,Simulation engine
run_manifest,21,engine_version,string,false,text,Exact engine version
run_manifest,22,calibration_status,string,false,enum,Must state NOT_CALIBRATED in v1
run_manifest,23,claim_ceiling,string,false,enum,Permitted interpretation
run_manifest,24,crn_alignment_status,string,false,enum,Whether traveller-level alignment passed
run_manifest,25,run_status,string,false,enum,Run completion state
entity_log,1,schema_version,string,false,version,Output schema version
entity_log,2,config_id,string,false,identifier,Operational configuration identifier
entity_log,3,config_sha256,string,false,hex digest,SHA-256 of the exact configuration row
entity_log,4,model_version,string,false,identifier,Model source version
entity_log,5,scenario_id,string,false,identifier,Controlled scenario identifier
entity_log,6,input_sample_id,string,false,identifier,Outer input sample identifier
entity_log,7,replication_id,integer,false,index,Inner replication identifier
