scenario_id,parameter_name,parameter_value,unit,provenance_id,mapping_role,notes
REFERENCE_ASSUMPTION_SANDBOX_V1,arrival_mode,HPP,enum,ASSUMP_LOCAL_WINDOW_HPP,TRANSPARENT_ASSUMPTION,Stationarity and independence are assumed
REFERENCE_ASSUMPTION_SANDBOX_V1,arrival_rate_per_second,1.364213,travellers/second,LOCAL_VIDEO_RTL_RATE,DIRECT,34 divided by 24.922788889
REFERENCE_ASSUMPTION_SANDBOX_V1,demand_multiplier,1.0,multiplier,LOCAL_VIDEO_RTL_RATE,DIRECT,Reference preserves the accepted short-window rate
REFERENCE_ASSUMPTION_SANDBOX_V1,arrival_cutoff_seconds,300,seconds,ASSUMP_HORIZON_300S,TRANSPARENT_ASSUMPTION,Five-minute pilot window
REFERENCE_ASSUMPTION_SANDBOX_V1,drain_rule,FULL_DRAIN,enum,STRUCT_TERMINATING_REPLICATIONS,STRUCTURAL,Stop arrivals then complete the admitted cohort
REFERENCE_ASSUMPTION_SANDBOX_V1,security_service_distribution,FIXED,enum,ASSUMP_FIXED_CONTEXT_MEAN,TRANSPARENT_ASSUMPTION,No variance is inferred from a throughput range
REFERENCE_ASSUMPTION_SANDBOX_V1,security_service_p1_seconds,21.818181818,seconds,EXT_SECURITY_GAO_ACRP_165PPH,DERIVED,Reciprocal of the conservative 165 passengers/hour/lane bound
REFERENCE_ASSUMPTION_SANDBOX_V1,security_capacity,36,servers,ASSUMP_REFERENCE_CAPACITY_RULE,DERIVED,Ceiling of offered load divided by 0.85
REFERENCE_ASSUMPTION_SANDBOX_V1,security_queue_capacity,5000,travellers,ASSUMP_NONBINDING_QUEUE_5000,TRANSPARENT_ASSUMPTION,Finite loss guard only
REFERENCE_ASSUMPTION_SANDBOX_V1,immigration_service_distribution,FIXED,enum,ASSUMP_FIXED_CONTEXT_MEAN,TRANSPARENT_ASSUMPTION,Published mean used as a named deterministic context
REFERENCE_ASSUMPTION_SANDBOX_V1,immigration_service_p1_seconds,13,seconds,SG_MHA_BUS_PASSPORT_13S,CONTEXT_SCENARIO,Closest named land bus-hall passport context
REFERENCE_ASSUMPTION_SANDBOX_V1,immigration_capacity,21,servers,ASSUMP_REFERENCE_CAPACITY_RULE,DERIVED,Ceiling of offered load divided by 0.85
REFERENCE_ASSUMPTION_SANDBOX_V1,immigration_queue_capacity,5000,travellers,ASSUMP_NONBINDING_QUEUE_5000,TRANSPARENT_ASSUMPTION,Finite loss guard only
REFERENCE_ASSUMPTION_SANDBOX_V1,queue_policy,pooled,enum,STRUCT_QUEUE_POLICY,STRUCTURAL,V1 implements one FCFS queue per stage; separate lane banks remain a v2 extension
REFERENCE_ASSUMPTION_SANDBOX_V1,automation_mapping_mode,DISABLED,enum,ASSUMP_AUTOMATION_DISABLED_REFERENCE,TRANSPARENT_ASSUMPTION,Technology mixture disabled in reference
REFERENCE_ASSUMPTION_SANDBOX_V1,automation_uptake,0,proportion,ASSUMP_AUTOMATION_DISABLED_REFERENCE,TRANSPARENT_ASSUMPTION,Technology mixture disabled in reference
REFERENCE_ASSUMPTION_SANDBOX_V1,automation_multiplier,1,multiplier,ASSUMP_AUTOMATION_DISABLED_REFERENCE,TRANSPARENT_ASSUMPTION,Identity multiplier when disabled
REFERENCE_ASSUMPTION_SANDBOX_V1,additional_check_semantics,NONE,enum,ASSUMP_ZERO_REFERRAL_REFERENCE,TRANSPARENT_ASSUMPTION,Exception workload tested separately
REFERENCE_ASSUMPTION_SANDBOX_V1,additional_check_probability_conventional,0,proportion,ASSUMP_ZERO_REFERRAL_REFERENCE,TRANSPARENT_ASSUMPTION,Exception workload tested separately
REFERENCE_ASSUMPTION_SANDBOX_V1,additional_check_probability_technology,0,proportion,ASSUMP_ZERO_REFERRAL_REFERENCE,TRANSPARENT_ASSUMPTION,Exception workload tested separately
REFERENCE_ASSUMPTION_SANDBOX_V1,pilot_replications,10,replications,ASSUMP_PILOT_REPS_10,TRANSPARENT_ASSUMPTION,Not the frozen confirmatory count
REFERENCE_ASSUMPTION_SANDBOX_V1,master_seed,2026072800,integer,ASSUMP_MASTER_SEED_POLICY,TRANSPARENT_ASSUMPTION,Pairing prohibited until alignment passes
CAPACITY_SECURITY_PLUS_4,security_capacity,40,servers,ASSUMP_REFERENCE_CAPACITY_RULE,ILLUSTRATIVE_SCENARIO,Four-lane decision increment
CAPACITY_IMMIGRATION_PLUS_3,immigration_capacity,24,servers,ASSUMP_REFERENCE_CAPACITY_RULE,ILLUSTRATIVE_SCENARIO,Three-counter decision increment
CAPACITY_BOTH_PLUS,security_capacity,40,servers,ASSUMP_REFERENCE_CAPACITY_RULE,ILLUSTRATIVE_SCENARIO,Four-lane decision increment
CAPACITY_BOTH_PLUS,immigration_capacity,24,servers,ASSUMP_REFERENCE_CAPACITY_RULE,ILLUSTRATIVE_SCENARIO,Three-counter decision increment
DEMAND_LOW_080,demand_multiplier,0.8,multiplier,ASSUMP_DEMAND_080_120,ILLUSTRATIVE_SCENARIO,Not an observed off-peak rate
DEMAND_HIGH_120,demand_multiplier,1.2,multiplier,ASSUMP_DEMAND_080_120,ILLUSTRATIVE_SCENARIO,Not an observed peak forecast
SERVICE_SG_BUS_QR_10S,immigration_service_p1_seconds,10,seconds,SG_MHA_BUS_QR_10S,CONTEXT_SCENARIO,Named official context kept separate
SERVICE_SG_TRAIN_KIOSK_24S,immigration_service_p1_seconds,24,seconds,SG_ICA_TRAIN_KIOSK_24S,CONTEXT_SCENARIO,Named official cross-checkpoint context
