replication_id,total_queue_wait_p95_seconds,run_status
1,2.208553338,COMPLETE
2,3.486699562,COMPLETE
3,2.365394881,COMPLETE
4,1.430620064,COMPLETE
5,1.915322452,COMPLETE
6,2.201837100,COMPLETE
7,2.579075458,COMPLETE
8,7.716276927,COMPLETE
9,4.277478309,COMPLETE
10,2.046929136,COMPLETE
11,3.727629041,COMPLETE
12,5.195606570,COMPLETE
13,18.740817072,COMPLETE
14,3.122620386,COMPLETE
15,2.620723817,COMPLETE
16,1.998925238,COMPLETE
17,5.150024982,COMPLETE
18,4.213769509,COMPLETE
19,2.431020745,COMPLETE
20,3.101551374,COMPLETE
21,5.966949004,COMPLETE
22,3.265712575,COMPLETE
23,4.291825544,COMPLETE
24,3.664500747,COMPLETE
25,3.302210024,COMPLETE
26,3.967644885,COMPLETE
27,2.352481438,COMPLETE
28,2.721259981,COMPLETE
29,3.836327174,COMPLETE
30,3.421875062,COMPLETE
31,6.688150287,COMPLETE
32,2.334757964,COMPLETE
33,2.875025779,COMPLETE
34,3.394021009,COMPLETE
35,6.044732340,COMPLETE
36,2.042239207,COMPLETE
37,3.804652912,COMPLETE
38,1.642636100,COMPLETE
39,4.834022532,COMPLETE
40,3.522165706,COMPLETE
41,3.239797144,COMPLETE
42,7.511248252,COMPLETE
43,4.160249958,COMPLETE
44,0.485576818,COMPLETE
45,1.989322874,COMPLETE
46,6.871251009,COMPLETE
47,1.442984503,COMPLETE
48,7.285356425,COMPLETE
49,4.875148937,COMPLETE
50,4.074617586,COMPLETE
