schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status,analysis_window_start_seconds,analysis_window_end_seconds,peak_window_end_seconds,security_positive_wait_count,immigration_positive_wait_count,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,security_queue_person_seconds,immigration_queue_person_seconds,total_queue_person_seconds,time_weighted_mean_security_waiting_queue,time_weighted_mean_immigration_waiting_queue,time_weighted_mean_total_waiting_queue
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,1,300.000000000,333.378284734,313,277,0,22,0,14,36,313,0,0,0,0.000000000,0.000000000,0.034405505,0.000000000,0.034405505,0.000000000,0.000000000,0.000000000,0.000000000,34.852587323,34.818181818,0.569014175,0.581207336,36,0.115015974,33.378284734,true,COMPLETE,0,300,320.378284734,0,7,0,4,4,0,10.768922907,10.768922907,0,0.03589640969,0.03589640969
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,2,300.000000000,332.283944051,299,263,0,20,0,16,36,299,0,0,0,0.000000000,0.000000000,0.000900810,0.000000000,0.000900810,0.000000000,0.000000000,0.000000000,0.000000000,34.819082628,34.818181818,0.545353227,0.557039368,36,0.120401338,32.283944051,true,COMPLETE,0,300,319.283944051,0,1,0,1,1,0,0.269342283,0.269342283,0,0.00089780761,0.00089780761
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,3,300.000000000,334.763588245,285,251,0,27,0,7,34,285,0,0,0,0.016208119,0.000000000,0.094619435,0.680083802,0.110827555,0.894984763,0.000000000,0.000000000,0.000000000,34.929009373,35.713166581,0.515967921,0.527024377,34,0.119298246,34.763588245,true,COMPLETE,0,300,321.763588245,4,19,2,6,6,4.619314034,26.825766117,31.445080151,0.0153977134467,0.08941922039,0.104816933837
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,4,300.000000000,334.214032222,293,254,0,27,0,12,39,293,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.531323465,0.542708968,39,0.133105802,34.214032222,true,COMPLETE,0,300,321.214032222,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,5,300.000000000,333.398993631,289,254,0,23,0,12,35,289,0,0,0,0.000000000,0.000000000,0.003926900,0.000000000,0.003926900,0.000000000,0.000000000,0.000000000,0.000000000,34.822108718,34.818181818,0.525351061,0.536608584,35,0.121107266,33.398993631,true,COMPLETE,0,300,320.398993631,0,3,0,1,1,0,1.134874169,1.134874169,0,0.00378291389667,0.00378291389667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,6,300.000000000,334.503790859,310,286,0,15,0,9,24,310,0,0,0,0.000000000,0.000000000,0.001133148,0.000000000,0.001133148,0.000000000,0.000000000,0.000000000,0.000000000,34.819314966,34.818181818,0.561664152,0.573699812,24,0.077419355,34.503790859,true,COMPLETE,0,300,321.503790859,0,1,0,1,1,0,0.351275772,0.351275772,0,0.00117091924,0.00117091924
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,7,300.000000000,334.009467665,254,220,0,19,0,15,34,254,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.460883325,0.470759396,34,0.133858268,34.009467665,true,COMPLETE,0,300,321.009467665,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,8,300.000000000,334.204293046,279,242,0,26,0,11,37,279,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.505950739,0.516792541,37,0.132616487,34.204293046,true,COMPLETE,0,300,321.204293046,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,9,300.000000000,334.651209542,271,235,0,22,0,14,36,271,0,0,0,0.000000000,0.000000000,0.007156757,0.000000000,0.007156757,0.000000000,0.000000000,0.000000000,0.000000000,34.825338575,34.818181818,0.490786884,0.501303745,36,0.132841328,34.651209542,true,COMPLETE,0,300,321.651209542,0,5,0,2,2,0,1.939481021,1.939481021,0,0.00646493673667,0.00646493673667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,10,300.000000000,333.986965101,321,285,0,22,0,14,36,321,0,0,0,0.000000000,0.000000000,0.017432566,0.000000000,0.017432566,0.000000000,0.000000000,0.000000000,0.000000000,34.835614384,34.818181818,0.582494154,0.594976171,36,0.112149533,33.986965101,true,COMPLETE,0,300,320.986965101,0,12,0,2,2,0,5.595853635,5.595853635,0,0.01865284545,0.01865284545
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,11,300.000000000,334.383425690,276,248,0,19,0,9,28,276,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.500242280,0.510961757,28,0.101449275,34.383425690,true,COMPLETE,0,300,321.38342569,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,12,300.000000000,334.365001603,299,251,0,33,0,15,48,299,0,0,0,0.000000000,0.000000000,0.053231757,0.189676011,0.053231757,0.189676011,0.000000000,0.000000000,0.000000000,34.871413575,35.007857829,0.541958998,0.553572405,48,0.160535117,34.365001603,true,COMPLETE,0,300,321.365001603,0,15,0,4,4,0,1.234422015,1.234422015,0,0.00411474005,0.00411474005
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,13,300.000000000,334.664495631,286,256,0,19,0,11,30,286,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,34.818181818,34.818181818,0.517931647,0.529030182,30,0.104895105,34.664495631,true,COMPLETE,0,300,321.664495631,0,0,0,0,0,0,0,0,0,0,0
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,14,300.000000000,334.504039286,264,224,0,27,0,13,40,264,0,0,0,0.000000000,0.000000000,0.006418947,0.000000000,0.006418947,0.000000000,0.000000000,0.000000000,0.000000000,34.824600765,34.818181818,0.478320083,0.488569800,40,0.151515152,34.504039286,true,COMPLETE,0,300,321.504039286,0,3,0,1,1,0,1.694601983,1.694601983,0,0.00564867327667,0.00564867327667
1.0,OP_CONFIRM_EXACT95_LOW_REFERENCE_ASSUMPTION_SANDBOX_V1,32b9044b5bbd75968a07e8c7fc390d8c3419cadcce37bf0965896dd768445e2b,TASK3_OPERATIONAL_POOLED_V1,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_EXACT95_LOW,15,300.000000000,334.767924815,296,263,0,21,0,12,33,296,0,0,0,0.000000000,0.000000000,0.001106328,0.000000000,0.001106328,0.000000000,0.000000000,0.000000000,0.000000000,34.819288146,34.818181818,0.535875531,0.547358578,33,0.111486486,34.767924815,true,COMPLETE,0,300,321.767924815,0,1,0,1,1,0,0.327473233,0.327473233,0,0.00109157744333,0.00109157744333
