schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,1,300.000000000,334.854323649,396,354,0,24,0,18,42,396,0,0,0,0.057488243,0.190262896,2.199991977,5.772109861,2.257480220,5.935551753,0.000000000,0.000000000,0.000000000,37.075662038,40.753733571,0.716729584,0.854102754,42,0.106060606,34.854323649,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,2,300.000000000,353.697626202,442,368,8,36,12,18,74,442,0,0,0,0.365808343,2.433340877,7.349389880,14.160053771,7.715198223,15.422250589,0.000000000,0.000000000,0.000000000,42.533380041,50.240432407,0.757366655,0.902528597,74,0.167420814,53.697626202,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,3,300.000000000,334.760392420,393,350,0,29,0,14,43,393,0,0,0,0.084898731,0.481609869,1.823621814,7.173797133,1.908520544,7.173797133,0.000000000,0.000000000,0.000000000,36.726702362,41.991978951,0.711499399,0.847870118,43,0.109414758,34.760392420,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,4,300.000000000,344.663925773,410,347,0,35,10,18,63,410,0,0,0,0.031298571,0.000000000,2.290631570,8.574696295,2.321930140,8.667866875,0.000000000,0.000000000,0.000000000,37.140111958,43.486048693,0.720948234,0.859129978,63,0.153658537,44.663925773,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,5,300.000000000,333.557018640,388,356,0,18,0,14,32,388,0,0,0,0.098018246,0.858015621,3.055982182,6.298769526,3.154000427,6.514039701,0.000000000,0.000000000,0.000000000,37.972182245,41.332221519,0.704981463,0.840102911,32,0.082474227,33.557018640,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,6,300.000000000,346.321962930,419,356,0,33,12,18,63,419,0,0,0,0.101817006,0.855258499,6.580471008,13.252708864,6.682288014,13.269727350,0.000000000,0.000000000,0.000000000,41.500469832,48.087909168,0.733246577,0.873785505,63,0.150357995,46.321962930,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,7,300.000000000,339.866615257,408,352,0,33,5,18,56,408,0,0,0,0.161438120,1.333000691,2.124530275,5.393195514,2.285968394,6.410100704,0.000000000,0.000000000,0.000000000,37.104150212,41.228282522,0.727558154,0.867006800,56,0.137254902,39.866615257,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,8,300.000000000,353.825816755,442,368,0,21,35,18,74,442,0,0,0,1.042778706,5.258285645,14.084655618,25.341093481,15.127434324,26.558508685,0.000000000,0.000000000,0.000000000,49.945616142,61.376690503,0.757092262,0.902201612,74,0.167420814,53.825816755,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,9,300.000000000,337.741384818,395,343,0,33,1,18,52,395,0,0,0,0.337787869,2.427248770,2.544544345,8.809770368,2.882332214,10.295005693,0.000000000,0.000000000,0.000000000,37.700514032,45.113187511,0.708808426,0.844663374,52,0.131645570,37.741384818,true,COMPLETE
1.0,OP_AVAIL_MLE_BASE_CAPACITY_AVAIL_IMMIGRATION_MINUS_3,01537ae28094b776ba547aac84a146217f6fda92b8c6379ea55746cde1b4c754,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_AVAIL_IMMIGRATION_MINUS_3,LOCAL_WINDOW_HPP_BASE,10,300.000000000,335.366355807,394,342,0,31,3,18,52,394,0,0,0,0.063241865,0.165118014,1.839635458,6.184678844,1.902877322,6.381879442,0.000000000,0.000000000,0.000000000,36.721059140,41.200061260,0.712020972,0.848491659,52,0.131979695,35.366355807,true,COMPLETE
