schema_version,study_id,axis,fixed_security_capacity,fixed_immigration_capacity,higher_capacity,lower_capacity,higher_scenario_id,lower_scenario_id,metric,contrast,n_pairs,mean_penalty,standard_deviation,standard_error,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.29101293706,0.276502849833,0.0391034080269,0.95,0.212431696602,0.369594177518,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.0910782995,0.0832741361929,0.0117767412799,0.95,0.0674120518499,0.11474454715,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.7,0.580288457474,0.0820651806648,0.95,0.535083845105,0.864916154895,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.140209965985,0.134136263755,0.0189697323409,0.95,0.102088861618,0.178331070353,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.2,0.494871659305,0.0699854212224,0.95,0.0593590305515,0.340640969449,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.10628217722,0.404486018346,0.0572029612935,0.95,-0.00867147728593,0.221235831726,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.80939368966,0.389667058801,0.0551072439367,0.95,0.698651536858,0.920135842462,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,36,35,CAPACITY_RESPONSE_S36_I21,CAPACITY_RESPONSE_S35_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.30344742716,0.249348136191,0.0352631515954,0.95,-0.374311383389,-0.232583470931,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.55659931824,0.411640042733,0.0582146931248,0.95,0.439612512499,0.673586123981,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.20450446448,0.230751868333,0.032633242174,0.95,0.1389255091,0.27008341986,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.16,0.765586343256,0.10827025898,0.95,0.942422768636,1.37757723136,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.300528698832,0.354251863804,0.0500987790288,0.95,0.199851433085,0.401205964579,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.38,0.805339325112,0.113892179589,0.95,0.151125096196,0.608874903804,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.36116366712,0.615811625421,0.0870889152537,0.95,0.186151939598,0.536175394642,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.95226825266,0.589747206013,0.0834028497115,0.95,0.784663951174,1.11987255415,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,35,34,CAPACITY_RESPONSE_S35_I21,CAPACITY_RESPONSE_S34_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.29595505664,0.26283702261,0.0371707682069,0.95,-0.370652511974,-0.221257601306,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.92501687138,0.753530252784,0.106565270315,0.95,0.710865943018,1.13916779974,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.38345736916,0.438383932636,0.061996850306,0.95,0.258870034005,0.508044704315,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.6,1.34011878852,0.189521416592,0.95,1.21914245431,1.98085754569,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.538310177524,0.626970331265,0.088666994568,0.95,0.360127180889,0.716493174158,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.92,1.74776825625,0.247171757187,0.95,0.423289757439,1.41671024256,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.85504750986,1.54581488152,0.218611237036,0.95,0.415731781353,1.29436323837,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.2485991073,0.78915198579,0.111602944108,0.95,1.02432459443,1.47287362017,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,34,33,CAPACITY_RESPONSE_S34_I21,CAPACITY_RESPONSE_S33_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.3252853213,0.280334723593,0.0396453168109,0.95,-0.404955568231,-0.245615074369,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.39264428294,1.0094160025,0.142752980082,0.95,1.10577142914,1.67951713674,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.64980056378,0.615131432499,0.0869927214483,0.95,0.474982144947,0.824618982613,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.88,1.31924530064,0.186569459626,0.95,1.50507463393,2.25492536607,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,0.893822972213,0.877285242963,0.124066868867,0.95,0.64450126479,1.14314467964,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.24,2.15292871243,0.304470098394,0.95,0.62814442982,1.85185557018,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.15917649634,1.61420835902,0.228283535383,0.95,0.700423556591,1.61792943609,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.56868896072,0.985450406578,0.139363733003,0.95,1.28862705392,1.84875086752,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,33,32,CAPACITY_RESPONSE_S33_I21,CAPACITY_RESPONSE_S32_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.34262880484,0.291818434021,0.0412693587143,0.95,-0.425562686164,-0.259694923516,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.23799982338,1.52797106206,0.216087739888,0.95,1.80375525225,2.67224439451,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.12368125034,0.976541633308,0.138103842205,0.95,0.846151188893,1.40121131179,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.94,2.23524641385,0.316111579371,0.95,2.30474999793,3.57525000207,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.51213815941,1.36106473585,0.192483620871,0.95,1.12532784136,1.89894847747,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.42,3.14344150412,0.444549760765,0.95,1.5266438091,3.3133561909,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.36096482782,2.66434848682,0.376795776495,0.95,1.60376536592,3.11816428972,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.32603468422,1.4657736414,0.207291696303,0.95,1.90946642447,2.74260294397,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,32,31,CAPACITY_RESPONSE_S32_I21,CAPACITY_RESPONSE_S31_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.30980814554,0.350359829309,0.0495483622319,0.95,-0.409379307322,-0.210236983758,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,3.27922313344,2.01868190207,0.285484732402,0.95,2.70552008463,3.85292618225,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,total_queue_wait_mean_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,1.80342588888,1.27916695047,0.180901524989,0.95,1.4398906639,2.16696111386,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,peak_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,4.2,3.09706905553,0.437991706193,0.95,3.31982271317,5.08017728683,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,time_weighted_mean_total_waiting_queue,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,2.34739648806,1.70611120029,0.241280559837,0.95,1.86252504981,2.83226792631,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,cutoff_backlog,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,3.98,3.51956629981,0.497741839487,0.95,2.97975032488,4.98024967512,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,cohort_clear_time_after_cutoff_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,3.8831742352,3.28866214711,0.46508706105,0.95,2.9485467942,4.8178016762,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,security_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,3.33639769996,2.00763789363,0.28392287375,0.95,2.76583332362,3.9069620763,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,31,30,CAPACITY_RESPONSE_S31_I21,CAPACITY_RESPONSE_S30_I21,immigration_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,-0.28223188346,0.460658517823,0.0651469523527,0.95,-0.413149585682,-0.151314181238,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,SECURITY,,21,30,29,CAPACITY_RESPONSE_S30_I21,CAPACITY_RESPONSE_S29_I21,total_queue_wait_p95_seconds,LOWER_CAPACITY_MINUS_HIGHER_CAPACITY,50,4.8474993939,2.51704619527,0.355964086647,0.95,4.13216278007,5.56283600773,PASS,EXPLORATORY_SENSITIVITY_NOT_CONFIRMATORY
