schema_version,study_id,view,path_index,security_capacity,immigration_capacity,security_reduction,immigration_reduction,security_offered_load_ratio,immigration_offered_load_ratio,scenario_id,metric,n_replications,mean,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,0,36,21,0,0,0.826795937552,0.844512993364,CAPACITY_RESPONSE_S36_I21,total_queue_wait_p95_seconds,50,3.92879239474,0.384147863609,0.95,3.15681836064,4.70076642884
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,1,36,20,0,1,0.826795937552,0.886738643032,CAPACITY_RESPONSE_S36_I20,total_queue_wait_p95_seconds,50,5.24133542322,0.485465227974,0.95,4.2657565226,6.21691432384
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,2,36,19,0,2,0.826795937552,0.933409097928,CAPACITY_RESPONSE_S36_I19,total_queue_wait_p95_seconds,50,7.62724575214,0.638799463373,0.95,6.34353016905,8.91096133523
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,3,36,18,0,3,0.826795937552,0.985265158924,CAPACITY_RESPONSE_S36_I18,total_queue_wait_p95_seconds,50,12.2478467585,0.93764488844,0.95,10.3635788095,14.1321147076
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,4,36,17,0,4,0.826795937552,1.04322193298,CAPACITY_RESPONSE_S36_I17,total_queue_wait_p95_seconds,50,20.9267303561,1.39063591847,0.95,18.1321428505,23.7213178617
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,5,36,16,0,5,0.826795937552,1.10842330379,CAPACITY_RESPONSE_S36_I16,total_queue_wait_p95_seconds,50,35.6092292366,1.83719667842,0.95,31.917244286,39.3012141873
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,6,35,21,1,0,0.850418678625,0.844512993364,CAPACITY_RESPONSE_S35_I21,total_queue_wait_p95_seconds,50,4.2198053318,0.415875661045,0.95,3.38407190164,5.05553876196
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,7,35,20,1,1,0.850418678625,0.886738643032,CAPACITY_RESPONSE_S35_I20,total_queue_wait_p95_seconds,50,5.34085758842,0.495192303199,0.95,4.34573139829,6.33598377855
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,8,35,19,1,2,0.850418678625,0.933409097928,CAPACITY_RESPONSE_S35_I19,total_queue_wait_p95_seconds,50,7.63588693424,0.639389485089,0.95,6.35098565812,8.92078821036
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,9,35,18,1,3,0.850418678625,0.985265158924,CAPACITY_RESPONSE_S35_I18,total_queue_wait_p95_seconds,50,12.2478467585,0.93764488844,0.95,10.3635788095,14.1321147076
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,10,35,17,1,4,0.850418678625,1.04322193298,CAPACITY_RESPONSE_S35_I17,total_queue_wait_p95_seconds,50,20.9267303561,1.39063591847,0.95,18.1321428505,23.7213178617
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,11,35,16,1,5,0.850418678625,1.10842330379,CAPACITY_RESPONSE_S35_I16,total_queue_wait_p95_seconds,50,35.6092292366,1.83719667842,0.95,31.917244286,39.3012141873
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,12,34,21,2,0,0.875430992702,0.844512993364,CAPACITY_RESPONSE_S34_I21,total_queue_wait_p95_seconds,50,4.77640465004,0.463700256443,0.95,3.84456409724,5.70824520284
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,13,34,20,2,1,0.875430992702,0.886738643032,CAPACITY_RESPONSE_S34_I20,total_queue_wait_p95_seconds,50,5.56594971898,0.501096787984,0.95,4.55895802244,6.57294141552
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,14,34,19,2,2,0.875430992702,0.933409097928,CAPACITY_RESPONSE_S34_I19,total_queue_wait_p95_seconds,50,7.66529242952,0.639790010573,0.95,6.37958626731,8.95099859173
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,15,34,18,2,3,0.875430992702,0.985265158924,CAPACITY_RESPONSE_S34_I18,total_queue_wait_p95_seconds,50,12.2478467585,0.93764488844,0.95,10.3635788095,14.1321147076
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,16,34,17,2,4,0.875430992702,1.04322193298,CAPACITY_RESPONSE_S34_I17,total_queue_wait_p95_seconds,50,20.9267303561,1.39063591847,0.95,18.1321428505,23.7213178617
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,17,34,16,2,5,0.875430992702,1.10842330379,CAPACITY_RESPONSE_S34_I16,total_queue_wait_p95_seconds,50,35.6092292366,1.83719667842,0.95,31.917244286,39.3012141873
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,18,33,21,3,0,0.901959204602,0.844512993364,CAPACITY_RESPONSE_S33_I21,total_queue_wait_p95_seconds,50,5.70142152142,0.528998087703,0.95,4.63836006388,6.76448297896
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,19,33,20,3,1,0.901959204602,0.886738643032,CAPACITY_RESPONSE_S33_I20,total_queue_wait_p95_seconds,50,6.14691006548,0.533337112941,0.95,5.07512901027,7.21869112069
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,20,33,19,3,2,0.901959204602,0.933409097928,CAPACITY_RESPONSE_S33_I19,total_queue_wait_p95_seconds,50,7.7792284028,0.644037396465,0.95,6.48498679908,9.07347000652
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,21,33,18,3,3,0.901959204602,0.985265158924,CAPACITY_RESPONSE_S33_I18,total_queue_wait_p95_seconds,50,12.2621815396,0.937556178937,0.95,10.378091859,14.1462712202
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,22,33,17,3,4,0.901959204602,1.04322193298,CAPACITY_RESPONSE_S33_I17,total_queue_wait_p95_seconds,50,20.9273569613,1.39062828117,0.95,18.1327848034,23.7219291192
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,23,33,16,3,5,0.901959204602,1.10842330379,CAPACITY_RESPONSE_S33_I16,total_queue_wait_p95_seconds,50,35.6092292366,1.83719667842,0.95,31.917244286,39.3012141873
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,24,32,21,4,0,0.930145429746,0.844512993364,CAPACITY_RESPONSE_S32_I21,total_queue_wait_p95_seconds,50,7.09406580436,0.627235896964,0.95,5.83358807798,8.35454353074
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,25,32,20,4,1,0.930145429746,0.886738643032,CAPACITY_RESPONSE_S32_I20,total_queue_wait_p95_seconds,50,7.36462570714,0.632360385065,0.95,6.09384993637,8.63540147791
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,FULL_RESPONSE_SURFACE,26,32,19,4,2,0.930145429746,0.933409097928,CAPACITY_RESPONSE_S32_I19,total_queue_wait_p95_seconds,50,8.16707836386,0.653242152095,0.95,6.85433911116,9.47981761656
