schema_version,study_id,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,config_id,config_sha256,model_version,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,arrivals,completed_after_drain,rejected_or_dropped_count,total_queue_wait_p95_seconds,total_queue_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_p95_seconds,cutoff_backlog,cohort_clear_time_after_cutoff_seconds,security_utilization,immigration_utilization,analysis_window_start_seconds,analysis_window_end_seconds,peak_window_end_seconds,security_positive_wait_count,immigration_positive_wait_count,peak_security_waiting_queue,peak_immigration_waiting_queue,peak_total_waiting_queue,security_queue_person_seconds,immigration_queue_person_seconds,total_queue_person_seconds,time_weighted_mean_security_waiting_queue,time_weighted_mean_immigration_waiting_queue,time_weighted_mean_total_waiting_queue
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,1,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290011,202609290012,202609290013,202609290014,396,396,0,2.208553338,0.387438447,0.190262896,2.059438287,42,34.701527801,0.717056781,0.732422283,0,300,321.701527801,22,84,4,9,9,22.765344416,130.66028047,153.425624886,0.0758844813867,0.435534268233,0.51141874962
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,2,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290021,202609290022,202609290023,202609290024,442,442,0,3.486699562,0.964295391,2.433340877,2.636590984,65,40.938161730,0.785710777,0.802547436,0,300,327.93816173,105,179,8,8,9,135.517778944,224.775724463,360.293503407,0.451725929813,0.749252414877,1.20097834469
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,3,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290031,202609290032,202609290033,202609290034,393,393,0,2.365394881,0.400323403,0.481609869,2.234494812,43,34.760392420,0.711499399,0.726745815,0,300,321.76039242,31,84,4,6,6,33.365201114,123.961896184,157.327097298,0.111217337047,0.413206320613,0.52442365766
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,4,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290041,202609290042,202609290043,202609290044,410,410,0,1.430620064,0.166248938,0.000000000,1.210164980,54,35.403470296,0.740853541,0.756728974,0,300,322.403470296,19,56,3,4,4,12.832413913,34.562437004,47.394850917,0.0427747130433,0.115208123347,0.15798283639
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,5,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290051,202609290052,202609290053,202609290054,388,388,0,1.915322452,0.308964087,0.858015621,1.304149833,32,33.557018640,0.704981463,0.720088209,0,300,320.55701864,31,84,5,4,5,38.031079305,81.846986446,119.878065751,0.12677026435,0.272823288153,0.399593552503
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,6,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290061,202609290062,202609290063,202609290064,419,419,0,2.201837100,0.421999876,0.855258499,1.801874664,51,32.893710211,0.762824247,0.779170481,0,300,319.893710211,55,138,3,5,5,42.66132548,112.365606141,155.026931621,0.142204418267,0.37455202047,0.516756438737
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,7,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290071,202609290072,202609290073,202609290074,408,408,0,2.579075458,0.441958737,1.333000691,1.842807980,56,34.942694913,0.738253830,0.754073555,0,300,321.942694913,47,92,8,7,8,65.866752879,88.392908802,154.259661681,0.21955584293,0.29464302934,0.51419887227
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,8,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290081,202609290082,202609290083,202609290084,442,442,0,7.716276927,2.137357482,5.258285645,4.542101351,42,33.652413957,0.802867825,0.820072135,0,300,320.652413957,151,217,13,10,16,460.908187986,483.688166815,944.596354801,1.53636062662,1.61229388938,3.148654516
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,9,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290091,202609290092,202609290093,202609290094,395,395,0,4.277478309,0.737253211,2.427248770,2.405600435,52,33.857083782,0.717055144,0.732420612,0,300,320.857083782,65,110,8,8,8,133.426208411,150.506209207,283.932417618,0.444754028037,0.501687364023,0.94644139206
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,10,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290101,202609290102,202609290103,202609290104,394,394,0,2.046929136,0.266696246,0.165118014,1.377630124,50,34.733050789,0.713368095,0.728654554,0,300,321.733050789,24,67,4,6,6,24.917294624,75.981606574,100.898901198,0.0830576487467,0.253272021913,0.33632967066
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,11,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290111,202609290112,202609290113,202609290114,409,409,0,3.727629041,0.814457277,2.482026498,2.555758440,42,34.795505588,0.740388636,0.756254107,0,300,321.795505588,70,144,7,8,8,117.989309439,213.646611915,331.635921354,0.39329769813,0.71215537305,1.10545307118
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,12,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290121,202609290122,202609290123,202609290124,423,423,0,5.195606570,0.878583095,3.594318012,2.055972591,52,34.673639871,0.766010841,0.782425359,0,300,321.673639871,82,143,14,6,14,181.691169262,185.157485104,366.848654366,0.605637230873,0.617191617013,1.22282884789
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,13,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290131,202609290132,202609290133,202609290134,455,455,0,18.740817072,6.876111464,15.311140781,6.027288013,55,34.623415863,0.824083321,0.841742249,0,300,321.623415863,226,287,32,13,35,2235.60527447,866.066532492,3101.67180696,7.45201758156,2.88688844164,10.3389060232
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,14,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290141,202609290142,202609290143,202609290144,374,374,0,3.122620386,0.425524233,0.485602555,2.495840322,31,33.719484820,0.679213162,0.693767730,0,300,320.71948482,27,72,5,8,8,39.5280524,119.618010771,159.146063171,0.131760174667,0.39872670257,0.530486877237
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,15,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290151,202609290152,202609290153,202609290154,386,386,0,2.620723817,0.332675354,1.783448807,1.304406501,39,33.864251907,0.700702134,0.715717180,0,300,320.864251907,40,69,7,4,7,64.467384992,55.557239309,120.024624301,0.214891283307,0.185190797697,0.400082081003
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,16,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290161,202609290162,202609290163,202609290164,401,401,0,1.998925238,0.301965517,0.815556016,1.411975456,58,36.858360916,0.721461395,0.736921282,0,300,323.858360916,43,86,4,5,5,33.827733972,57.873085127,91.700819099,0.11275911324,0.192910283757,0.305669396997
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,CAPACITY_RESPONSE_S36_I21,LOCAL_WINDOW_HPP_BASE,17,36,21,OP_RESPONSE_MLE_BASE_S36_I21,da3ac16242c4b9e86b2c25c9748baa5ed3b95c27c87a8996d2c35fc50bac5eb0,TASK3_OPERATIONAL_POOLED_V1,202607290000,202609290171,202609290172,202609290173,202609290174,429,429,0,5.150024982,1.110563188,4.648105409,2.369988104,52,34.256800365,0.777845057,0.794513166,0,300,321.256800365,111,179,12,7,12,270.357802583,163.439568831,433.797371414,0.901192675277,0.54479856277,1.44599123805
