schema_version,study_id,security_capacity,immigration_capacity,contrast,n_pairs,security_minus_immigration_p95_mean_seconds,standard_error,ci_level,ci_low,ci_high,bottleneck_classification
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-0.01609759116,0.255646835162,0.95,-0.529839140551,0.497643958231,UNRESOLVED_AT_95_PERCENT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-1.43407431632,0.185192788995,0.95,-1.80623315918,-1.06191547346,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-3.99470752696,0.27562877456,0.95,-4.54860428696,-3.44081076696,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-8.86521836932,0.63825620272,0.95,-10.1478422293,-7.58259450939,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-17.8209412245,1.12858308046,0.95,-20.088913836,-15.5529686129,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,36,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-32.747201465,1.58970848294,0.95,-35.9418402666,-29.5525626634,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,1.09674352566,0.311790913231,0.95,0.470176227269,1.72331082405,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-0.2065359814,0.244536105291,0.95,-0.697949683176,0.284877720376,UNRESOLVED_AT_95_PERCENT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-2.7236809647,0.263350805743,0.95,-3.2529042226,-2.1944577068,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-7.5862359722,0.605192209242,0.95,-8.8024152496,-6.3700566948,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-16.6728853102,1.101733156,0.95,-18.8869009784,-14.458869642,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,35,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-31.6342315162,1.56045401639,0.95,-34.7700812662,-28.4983817662,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,2.34496683496,0.388791954447,0.95,1.56366015091,3.12627351901,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,1.36605223656,0.369968735986,0.95,0.62257222621,2.10953224691,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-1.03268692104,0.262622952058,0.95,-1.5604475022,-0.504926339882,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-6.01529906404,0.551239240397,0.95,-7.12305579128,-4.9075423368,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-15.2255716109,1.04240913091,0.95,-17.3203711874,-13.1307720345,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,34,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-30.2434830576,1.50798368538,0.95,-33.2738897297,-27.2130763855,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,21,SECURITY_P95_MINUS_IMMIGRATION_P95,50,3.91885126356,0.487173526353,0.95,2.93983940882,4.8978631183,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,20,SECURITY_P95_MINUS_IMMIGRATION_P95,50,3.08763469262,0.48519069816,0.95,2.11260748031,4.06266190493,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,19,SECURITY_P95_MINUS_IMMIGRATION_P95,50,1.2517891888,0.35732549527,0.95,0.53371672191,1.96986165569,SECURITY_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,18,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-3.73549863096,0.464001314302,0.95,-4.66794418218,-2.80305307974,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,17,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-13.0420658627,0.933493563194,0.95,-14.9179914113,-11.1661403141,IMMIGRATION_WAIT_DOMINANT
1.0,TASK3_CAPACITY_RESPONSE_SURFACE_EXPLORATORY_V1,33,16,SECURITY_P95_MINUS_IMMIGRATION_P95,50,-28.1281802677,1.39677425743,0.95,-30.9351032273,-25.3212573081,IMMIGRATION_WAIT_DOMINANT
