schema_version,study_id,arrival_level_id,input_sample_id,point_estimate_rank,scenario_id,mean_seconds,ci_low_seconds,ci_high_seconds,base_rate_rank,rank_delta_from_base,point_order_matches_base
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,1,CAPACITY_BOTH_PLUS,18.5130449023,16.2519188969,20.7741709078,1,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,2,CAPACITY_IMMIGRATION_PLUS_3,44.3212475278,40.7750054942,47.8674895614,2,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,3,CAPACITY_SECURITY_PLUS_4,51.3047870393,47.6480821468,54.9614919317,3,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,4,REFERENCE_ASSUMPTION_SANDBOX_V1,51.6713585174,48.0022140361,55.3405029988,4,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,1,CAPACITY_BOTH_PLUS,0,0,0,1,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,2,CAPACITY_IMMIGRATION_PLUS_3,0,0,0,2,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,3,CAPACITY_SECURITY_PLUS_4,0.06286362498,0.00689144420073,0.118835805759,3,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,4,REFERENCE_ASSUMPTION_SANDBOX_V1,0.06690438318,0.00675051160965,0.12705825475,4,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,1,CAPACITY_BOTH_PLUS,1.25006024874,0.826248873703,1.67387162378,1,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,2,CAPACITY_IMMIGRATION_PLUS_3,2.57677076376,1.87516131029,3.27838021723,2,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,3,CAPACITY_SECURITY_PLUS_4,3.7188298656,2.9870339762,4.450625755,3,0,True
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,MLE_BASE,LOCAL_WINDOW_HPP_BASE,4,REFERENCE_ASSUMPTION_SANDBOX_V1,3.92879239474,3.15681836064,4.70076642884,4,0,True
