schema_version,study_id,analysis_role,scenario_id,arrival_level_id,input_sample_id,metric,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_nominal_offered_load,50,0.744116343797,3.89144086681e-17,5.50332845101e-18,0.95,0.744116343797,0.744116343797
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_nominal_offered_load,50,0.738948869193,0,0,0.95,0.738948869193,0.738948869193
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,security_arrival_window_utilization,50,0.721899797036,0.0347272504814,0.00491117486147,0.95,0.712030421649,0.731769172423
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,immigration_arrival_window_utilization,50,0.672225044186,0.0325492523934,0.00460315941799,0.95,0.662974649007,0.681475439365
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_15_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_30_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,MLE_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_nominal_offered_load,50,1.03982800582,3.14018491737e-17,4.4408920985e-18,0.95,1.03982800582,1.03982800582
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_nominal_offered_load,50,1.03260697801,0,0,0.95,1.03260697801,1.03260697801
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,security_arrival_window_utilization,50,0.948461569093,0.0160871485613,0.00227506636752,0.95,0.943889652058,0.953033486128
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,immigration_arrival_window_utilization,50,0.881097685154,0.0150789956467,0.00213249201506,0.95,0.876812282008,0.885383088301
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_15_rate,50,0.202351986414,0.211888960748,0.0299656242007,0.95,0.142133810055,0.262570162772
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_30_rate,50,0.0136500365514,0.0448333873061,0.00634039843754,0.95,0.000908528857824,0.0263915442451
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_HIGH,LOCAL_WINDOW_HPP_EXACT95_HIGH,total_queue_wait_exceed_60_rate,50,0,0,0,0.95,0,0
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,security_nominal_offered_load,50,0.515322199641,5.49417910395e-17,7.76994260292e-18,0.95,0.515322199641,0.515322199641
1.0,TASK3_CAPACITY_MECHANISM_CONFIRMATORY_V1,POST_HOC_SUPPORTING_LOAD_DIAGNOSTIC,CAPACITY_BOTH_PLUS,EXACT95_LOW,LOCAL_WINDOW_HPP_EXACT95_LOW,immigration_nominal_offered_load,50,0.511743573259,0,0,0.95,0.511743573259,0.511743573259
