schema_version,config_id,config_sha256,model_version,scenario_id,scenario_family,reference_scenario_id,input_sample_id,replication_id,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,start_state,arrival_mode,arrival_cutoff_seconds,drain_end_seconds,drain_rule,engine_name,engine_version,calibration_status,claim_ceiling,crn_alignment_status,run_status
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,1,202607290000,202609290011,202609290012,202609290013,202609290014,EMPTY_AND_IDLE,HPP,300.000000000,334.701527801,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,2,202607290000,202609290021,202609290022,202609290023,202609290024,EMPTY_AND_IDLE,HPP,300.000000000,338.238171048,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,3,202607290000,202609290031,202609290032,202609290033,202609290034,EMPTY_AND_IDLE,HPP,300.000000000,334.760392420,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,4,202607290000,202609290041,202609290042,202609290043,202609290044,EMPTY_AND_IDLE,HPP,300.000000000,334.249482782,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,5,202607290000,202609290051,202609290052,202609290053,202609290054,EMPTY_AND_IDLE,HPP,300.000000000,333.557018640,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,202607290000,202609290061,202609290062,202609290063,202609290064,EMPTY_AND_IDLE,HPP,300.000000000,332.888594650,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,202607290000,202609290071,202609290072,202609290073,202609290074,EMPTY_AND_IDLE,HPP,300.000000000,334.565064641,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,202607290000,202609290081,202609290082,202609290083,202609290084,EMPTY_AND_IDLE,HPP,300.000000000,333.652413957,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,202607290000,202609290091,202609290092,202609290093,202609290094,EMPTY_AND_IDLE,HPP,300.000000000,333.857083782,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,202607290000,202609290101,202609290102,202609290103,202609290104,EMPTY_AND_IDLE,HPP,300.000000000,334.733050789,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,11,202607290000,202609290111,202609290112,202609290113,202609290114,EMPTY_AND_IDLE,HPP,300.000000000,334.795505588,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,12,202607290000,202609290121,202609290122,202609290123,202609290124,EMPTY_AND_IDLE,HPP,300.000000000,334.673639871,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,13,202607290000,202609290131,202609290132,202609290133,202609290134,EMPTY_AND_IDLE,HPP,300.000000000,334.623415863,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,14,202607290000,202609290141,202609290142,202609290143,202609290144,EMPTY_AND_IDLE,HPP,300.000000000,333.719484820,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,15,202607290000,202609290151,202609290152,202609290153,202609290154,EMPTY_AND_IDLE,HPP,300.000000000,333.864251907,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,16,202607290000,202609290161,202609290162,202609290163,202609290164,EMPTY_AND_IDLE,HPP,300.000000000,335.399444162,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,17,202607290000,202609290171,202609290172,202609290173,202609290174,EMPTY_AND_IDLE,HPP,300.000000000,334.256800365,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,18,202607290000,202609290181,202609290182,202609290183,202609290184,EMPTY_AND_IDLE,HPP,300.000000000,334.189920297,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,19,202607290000,202609290191,202609290192,202609290193,202609290194,EMPTY_AND_IDLE,HPP,300.000000000,334.219291288,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,20,202607290000,202609290201,202609290202,202609290203,202609290204,EMPTY_AND_IDLE,HPP,300.000000000,333.821416391,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,21,202607290000,202609290211,202609290212,202609290213,202609290214,EMPTY_AND_IDLE,HPP,300.000000000,334.758138695,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,22,202607290000,202609290221,202609290222,202609290223,202609290224,EMPTY_AND_IDLE,HPP,300.000000000,334.412573287,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,23,202607290000,202609290231,202609290232,202609290233,202609290234,EMPTY_AND_IDLE,HPP,300.000000000,334.747190250,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,24,202607290000,202609290241,202609290242,202609290243,202609290244,EMPTY_AND_IDLE,HPP,300.000000000,336.677769896,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,25,202607290000,202609290251,202609290252,202609290253,202609290254,EMPTY_AND_IDLE,HPP,300.000000000,337.316344856,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,26,202607290000,202609290261,202609290262,202609290263,202609290264,EMPTY_AND_IDLE,HPP,300.000000000,334.010066237,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,27,202607290000,202609290271,202609290272,202609290273,202609290274,EMPTY_AND_IDLE,HPP,300.000000000,334.337744233,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,28,202607290000,202609290281,202609290282,202609290283,202609290284,EMPTY_AND_IDLE,HPP,300.000000000,333.299670118,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,29,202607290000,202609290291,202609290292,202609290293,202609290294,EMPTY_AND_IDLE,HPP,300.000000000,333.984371011,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,30,202607290000,202609290301,202609290302,202609290303,202609290304,EMPTY_AND_IDLE,HPP,300.000000000,334.718900558,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,31,202607290000,202609290311,202609290312,202609290313,202609290314,EMPTY_AND_IDLE,HPP,300.000000000,332.133105256,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,32,202607290000,202609290321,202609290322,202609290323,202609290324,EMPTY_AND_IDLE,HPP,300.000000000,334.634792933,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,33,202607290000,202609290331,202609290332,202609290333,202609290334,EMPTY_AND_IDLE,HPP,300.000000000,333.891069489,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
1.0,OP_CONFIRM_MLE_BASE_CAPACITY_BOTH_PLUS,f15e7bca3caf7928d1cc85c7f0769cc39601b6e161afce3edf97023561e4ab66,TASK3_OPERATIONAL_POOLED_V1,CAPACITY_BOTH_PLUS,CAPACITY,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,34,202607290000,202609290341,202609290342,202609290343,202609290344,EMPTY_AND_IDLE,HPP,300.000000000,335.083768821,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,PENDING_VALIDATION,COMPLETE
