schema_version,scenario_id,reference_scenario_id,scenario_input_sample_id,reference_input_sample_id,metric,difference_direction,comparison_method,alignment_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-2.678732146,0.190169299285,49,0.95,-3.0608916607,-2.2965726313,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_mean_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.63570235606,0.0884394132984,49,0.95,-0.813428011011,-0.457976701109,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,security_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-1.7884160076,0.1920364456,49,0.95,-2.1743276933,-1.4025043219,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,immigration_wait_p95_seconds,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-1.62994802314,0.0567360083701,49,0.95,-1.74396330061,-1.51593274567,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_600_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_900_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_1200_rate,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,0,0,49,0.95,0,0,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,security_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.07282399072,0.00053997345409,49,0.95,-0.073909108002,-0.071738873438,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,immigration_utilization,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.09346489494,0.00064364126817,49,0.95,-0.0947583404941,-0.0921714493859,COMPLETE
1.0,CAPACITY_BOTH_PLUS,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,LOCAL_WINDOW_HPP_BASE,cutoff_backlog_fraction,SCENARIO_MINUS_REFERENCE,PAIRED_STUDENT_T,PASS,50,50,-0.0019105761,0.000656099761772,49,0.95,-0.00322905793434,-0.000592094265657,COMPLETE
