schema_version,study_id,regime,security_capacity,immigration_capacity,interstage_buffer_capacity,buffer_label,metric,estimand,n_replications,mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_role
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,25,25,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.4274110546,12.9909422968,1.83719667842,49,0.95,66.735426104,74.1193960053,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,25,25,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.06657591342,0.049027846762,0.00693358458247,49,0.95,0.0526423535385,0.0805094733015,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,50,50,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.4274110546,12.9909422968,1.83719667842,49,0.95,66.735426104,74.1193960053,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,50,50,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0.01006860616,0.0227078735135,0.00321137826954,49,0.95,0.00361509991248,0.0165221124075,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,100,100,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.4274110546,12.9909422968,1.83719667842,49,0.95,66.735426104,74.1193960053,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,100,100,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,5000,NONBINDING_5000,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,70.4274110546,12.9909422968,1.83719667842,49,0.95,66.735426104,74.1193960053,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,IMMIGRATION_BOTTLENECK_POSITIVE,36,16,5000,NONBINDING_5000,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,25,25,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,47.4294705792,6.96402076028,0.984861260784,49,0.95,45.4503177775,49.4086233809,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,25,25,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,50,50,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,47.4294705792,6.96402076028,0.984861260784,49,0.95,45.4503177775,49.4086233809,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,50,50,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,100,100,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,47.4294705792,6.96402076028,0.984861260784,49,0.95,45.4503177775,49.4086233809,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,100,100,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,5000,NONBINDING_5000,system_time_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,50,47.4294705792,6.96402076028,0.984861260784,49,0.95,45.4503177775,49.4086233809,PRIMARY
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,SECURITY_BOTTLENECK_NEGATIVE_CONTROL,30,21,5000,NONBINDING_5000,security_blocked_resource_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,50,0,0,0,49,0.95,0,0,MECHANISM_DIAGNOSTIC
