schema_version,study_id,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,security_capacity,immigration_capacity,interstage_buffer_capacity,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,input_draws_sha256,normalized_event_payload_sha256,arrivals,completed_after_drain,rejected_or_dropped_count,conservation_pass,run_status,interstage_buffer_peak_occupancy,system_time_p95_seconds,security_blocked_resource_fraction,security_blocked_resource_seconds,security_busy_seconds,last_exit_seconds,security_blocked_share_of_occupied,interstage_buffer_full_time_fraction,time_weighted_mean_interstage_buffer_occupancy,interstage_block_time_mean_seconds,interstage_block_time_p95_seconds,total_wait_including_interstage_mean_seconds,total_wait_including_interstage_p95_seconds,cohort_clear_time_after_cutoff_seconds
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,1,30,21,25,202607290000,202609290011,202609290012,202609290013,202609290014,31e6bdc1d2ef8a1c405ad97234fa6e4061fddb9374fcc548c8bbcb4d26f00365,142f146b86de6660507003db51f3bc2d582ad31b457916c48d6d222d529549e4,396,396,0,True,COMPLETE,9,41.194196476,0,0,8639.99999993,334.701527801,0,0,0.285367742,0,0,1.985890843,6.376014658,34.701527801
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,2,30,21,25,202607290000,202609290021,202609290022,202609290023,202609290024,4d35127c711b602608f0d85daefccba0b0f2b5b19bd8b23357536b1a39588f36,347f47106db5af68b8a646e89b6d60f4084d7f0c762b9df5b841589261fafb81,442,442,0,True,COMPLETE,5,51.506322741,0,0,9643.63636356,357.641675253,0,0,0.210776783,0,0,8.188273849,16.688140923,57.641675253
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,3,30,21,25,202607290000,202609290031,202609290032,202609290033,202609290034,35e1df60a7cbbe5e78a544aba79225b60549c252fea949bd4f8da455c8ed7c24,f6615f5d2d770038f41c82a91fb7679545bc546bb015e124c09a3ff021d67d37,393,393,0,True,COMPLETE,5,42.230785271,0,0,8574.54545447,334.76039242,0,0,0.048860459,0,0,1.701980505,7.412603453,34.76039242
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,4,30,21,25,202607290000,202609290041,202609290042,202609290043,202609290044,517956b50856de8caf2209257c61021a9a9e6f6e1648b595019dc89b04bf1035,c72ecf81690c791014337f10342e0302ef29000fa789c4bf26ccf95bcc464c29,410,410,0,True,COMPLETE,1,43.986668714,0,0,8945.45454538,345.494382333,0,0,0.007786517,0,0,2.205122388,9.168486896,45.494382333
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,5,30,21,25,202607290000,202609290051,202609290052,202609290053,202609290054,1c0c1796fa49590094aa5fc09f16770360e450693694bb006b2f257e5121a904,0a5094fea492adbde2e12011bf467efb57c623d793e94925d70f1181f1a4d537,388,388,0,True,COMPLETE,4,41.757948238,0,0,8465.45454538,333.55701864,0,0,0.030557001,0,0,3.39172309,6.93976642,33.55701864
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,6,30,21,25,202607290000,202609290061,202609290062,202609290063,202609290064,b49018c734c046f708e0c9477d532bce1e554afccdfe09b446442a6fcd5e8096,a7a583411fe09d67182a56081478430539ea6b10e72a5137a93645936a5b86e7,419,419,0,True,COMPLETE,4,49.070239897,0,0,9141.81818174,348.236605114,0,0,0.17402416,0,0,6.744901486,14.252058079,48.236605114
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,7,30,21,25,202607290000,202609290071,202609290072,202609290073,202609290074,ff30a02a8705dd072c1ff3254287f5798cd899e7ccaa57325aa71d83c4227499,25f8046e3b4e8dc2c44fa31a87f9dc0e0f718741936f7713bbdbed60e19c584a,408,408,0,True,COMPLETE,3,41.312447948,0,0,8901.81818174,339.313356839,0,0,0.021165646,0,0,2.265761079,6.49426613,39.313356839
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,8,30,21,25,202607290000,202609290081,202609290082,202609290083,202609290084,54f93c71470006da3a09c89dff95a83b1ea870754262c91608af5dbcb90a4ed8,1dcb96b49367e30beb1e7f3390bb41c1ad92c1e562ff2dbda94e0d00de9d0ba6,442,442,0,True,COMPLETE,4,62.512071528,0,0,9643.63636356,354.051948113,0,0,0.258582339,0,0,15.415187704,27.69388971,54.051948113
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,9,30,21,25,202607290000,202609290091,202609290092,202609290093,202609290094,eac0a9ee1817f7bfb8075caeca7e7b36c575a89b37d84ba4e00528b85d326525,55d1f16a89b9ed9980c2ee942ca69e94f25cfc11de0ea4947a0279670d7811ec,395,395,0,True,COMPLETE,3,45.284753721,0,0,8618.18181811,337.243295705,0,0,0.06653634,0,0,2.788918979,10.466571903,37.243295705
1.0,TASK3_INTERSTAGE_BUFFER_SPILLBACK_SENSITIVITY_V1,OP_INTERSTAGE_BUFFER_S30_I21_B0025,e6f3bf275aa577c9c5d8d1f0211b96c440f78c9fc953e5249ed68d565511f3bc,TASK3_OPERATIONAL_POOLED_INTERSTAGE_BAS_V1,INTERSTAGE_BUFFER_S30_I21_B0025,LOCAL_WINDOW_HPP_BASE,10,30,21,25,202607290000,202609290101,202609290102,202609290103,202609290104,9835da0b922279edffb5e025c97a589df839a34d56b76352d0e37c4e312314e2,4e12bc4199820dbeb4a59d4cccf6f3111573db6002ec6e947243a929f2b5371a,394,394,0,True,COMPLETE,1,40.916117606,0,0,8596.36363629,337.37319999,0,0,0.009164573,0,0,1.892542612,6.097935788,37.37319999
