schema_version,config_id,config_sha256,model_version,scenario_id,input_sample_id,replication_id,arrival_cutoff_seconds,drain_end_seconds,arrivals,completed_at_cutoff,security_queue_at_cutoff,security_in_service_at_cutoff,immigration_queue_at_cutoff,immigration_in_service_at_cutoff,wip_at_cutoff,completed_after_drain,rejected_or_dropped_count,technology_count,additional_check_count,security_wait_mean_seconds,security_wait_p95_seconds,immigration_wait_mean_seconds,immigration_wait_p95_seconds,total_queue_wait_mean_seconds,total_queue_wait_p95_seconds,total_queue_wait_exceed_600_rate,total_queue_wait_exceed_900_rate,total_queue_wait_exceed_1200_rate,system_time_mean_seconds,system_time_p95_seconds,security_utilization,immigration_utilization,cutoff_backlog,cutoff_backlog_fraction,cohort_clear_time_after_cutoff_seconds,conservation_pass,run_status
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,1,300.000000000,328.638078568,398,354,0,31,0,13,44,398,0,398,0,0.074022477,0.742854588,0.000000000,0.000000000,0.074022477,0.742854588,0.000000000,0.000000000,0.000000000,29.692204295,30.361036406,0.733974962,0.449821798,44,0.110552764,28.638078568,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,2,300.000000000,327.837020230,387,347,0,31,0,9,40,387,0,387,0,0.423021764,3.591276704,0.000000000,0.000000000,0.423021764,3.591276704,0.000000000,0.000000000,0.000000000,30.041203582,33.209458522,0.715433097,0.438458283,40,0.103359173,27.837020230,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,3,300.000000000,329.360809978,425,379,0,30,0,16,46,425,0,425,0,0.373125612,2.512914281,0.000000000,0.000000000,0.373125612,2.512914281,0.000000000,0.000000000,0.000000000,29.991307430,32.131096099,0.782047377,0.479283321,46,0.108235294,29.360809978,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,4,300.000000000,325.395075497,369,327,0,24,0,18,42,369,0,369,0,0.006216517,0.000000000,0.000000000,0.000000000,0.006216517,0.000000000,0.000000000,0.000000000,0.000000000,29.624398335,29.618181818,0.687276423,0.421202265,42,0.113821138,25.395075497,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,5,300.000000000,331.977392971,424,373,2,36,0,13,51,424,0,424,0,0.403234726,2.578671904,0.000000000,0.000000000,0.403234726,2.578671904,0.000000000,0.000000000,0.000000000,30.021416544,32.196853722,0.774057820,0.474386864,51,0.120283019,31.977392971,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,6,300.000000000,327.871388513,400,360,0,25,0,15,40,400,0,400,0,0.207348801,2.119386825,0.000000000,0.000000000,0.207348801,2.119386825,0.000000000,0.000000000,0.000000000,29.825530619,31.737568643,0.739388220,0.453139352,40,0.100000000,27.871388513,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,7,300.000000000,328.243552397,433,391,0,28,0,14,42,433,0,433,0,1.540677860,6.590097835,0.000000000,0.000000000,1.540677860,6.590097835,0.000000000,0.000000000,0.000000000,31.158859678,36.208279653,0.799480266,0.489967191,42,0.096997691,28.243552397,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,8,300.000000000,329.304305824,407,363,0,31,0,13,44,407,0,407,0,0.200890329,1.426793775,0.000000000,0.000000000,0.200890329,1.426793775,0.000000000,0.000000000,0.000000000,29.819072147,31.044975593,0.749053876,0.459063018,44,0.108108108,29.304305824,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,9,300.000000000,329.082133864,406,364,0,32,0,10,42,406,0,406,0,1.129313845,6.728226305,0.001051989,0.000000000,1.130365835,6.728226305,0.000000000,0.000000000,0.000000000,30.748547653,36.346408123,0.747717912,0.458244263,42,0.103448276,29.082133864,true,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,10,300.000000000,328.710551487,435,393,0,34,0,8,42,435,0,435,0,0.438477148,2.255861071,0.000000000,0.000000000,0.438477148,2.255861071,0.000000000,0.000000000,0.000000000,30.056658966,31.874042889,0.802031947,0.491531008,42,0.096551724,28.710551487,true,COMPLETE
