schema_version,config_id,config_sha256,model_version,scenario_id,scenario_family,reference_scenario_id,input_sample_id,replication_id,master_seed,arrival_seed,service_seed,routing_seed,tie_seed,start_state,arrival_mode,arrival_cutoff_seconds,drain_end_seconds,drain_rule,engine_name,engine_version,calibration_status,claim_ceiling,crn_alignment_status,run_status
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,1,2026072800,2027072901,2027072902,2027072903,2027072904,EMPTY_AND_IDLE,HPP,300.000000000,328.638078568,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,2,2026072800,2027073001,2027073002,2027073003,2027073004,EMPTY_AND_IDLE,HPP,300.000000000,327.837020230,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,3,2026072800,2027073101,2027073102,2027073103,2027073104,EMPTY_AND_IDLE,HPP,300.000000000,329.360809978,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,4,2026072800,2027073201,2027073202,2027073203,2027073204,EMPTY_AND_IDLE,HPP,300.000000000,325.395075497,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,5,2026072800,2027073301,2027073302,2027073303,2027073304,EMPTY_AND_IDLE,HPP,300.000000000,331.977392971,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,6,2026072800,2027073401,2027073402,2027073403,2027073404,EMPTY_AND_IDLE,HPP,300.000000000,327.871388513,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,7,2026072800,2027073501,2027073502,2027073503,2027073504,EMPTY_AND_IDLE,HPP,300.000000000,328.243552397,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,8,2026072800,2027073601,2027073602,2027073603,2027073604,EMPTY_AND_IDLE,HPP,300.000000000,329.304305824,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,9,2026072800,2027073701,2027073702,2027073703,2027073704,EMPTY_AND_IDLE,HPP,300.000000000,329.082133864,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
1.0,OP_AUTO_HTX_TRIAL_U100_M60,5ff882ef5e872f1d06b67e27fb6fd91e3b65b3dcb563d1c03eb57a60d083376f,TASK3_OPERATIONAL_POOLED_V1,AUTO_HTX_TRIAL_U100_M60,AUTOMATION,REFERENCE_ASSUMPTION_SANDBOX_V1,LOCAL_WINDOW_HPP_BASE,10,2026072800,2027073801,2027073802,2027073803,2027073804,EMPTY_AND_IDLE,HPP,300.000000000,328.710551487,FULL_DRAIN,AnyLogic,8.9.9.202607020720,NOT_CALIBRATED,COMPARATIVE_WHAT_IF_ONLY,NOT_TESTED,COMPLETE
