schema_version,scenario_id,input_sample_id,metric,estimand,n_replications,mean,standard_deviation,standard_error,ci_level,ci_low,ci_high,analysis_status
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,2.8546083288,2.24203206478,0.708992791182,0.95,1.25075520785,4.45846144975,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.4797381069,0.484404294822,0.153182088,0.95,0.133216149318,0.826260064482,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,2.8546083288,2.24203206478,0.708992791182,0.95,1.25075520785,4.45846144975,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0,0,0,0.95,0,0,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_600_rate,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0,0,0,0.95,0,0,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_900_rate,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0,0,0,0.95,0,0,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_1200_rate,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0,0,0,0.95,0,0,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,security_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.75304619,0.036777519192,0.0116300727337,0.95,0.726737137662,0.779355242338,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,immigration_utilization,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.4615097363,0.022539365407,0.0071275731701,0.95,0.4453860456,0.477633427,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,cutoff_backlog_fraction,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.1061357187,0.00756421181676,0.00239201380449,0.95,0.100724607539,0.111546829861,COMPLETE
1.0,AUTO_HTX_TRIAL_U100_M60,LOCAL_WINDOW_HPP_BASE,cohort_clear_time_after_cutoff_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,28.6420309329,1.64051920193,0.518777722335,0.95,27.4684741924,29.8155876734,COMPLETE
1.0,AUTO_HTX_TRIAL_U50_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,2.114815774,1.80442480352,0.570609224562,0.95,0.824008029498,3.4056235185,COMPLETE
1.0,AUTO_HTX_TRIAL_U50_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_mean_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.3499472801,0.376414245354,0.119032635905,0.95,0.0806767501799,0.61921781002,COMPLETE
1.0,AUTO_HTX_TRIAL_U50_M60,LOCAL_WINDOW_HPP_BASE,security_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,2.0483537694,1.82520138829,0.577179357549,0.95,0.742683351501,3.3540241873,COMPLETE
1.0,AUTO_HTX_TRIAL_U50_M60,LOCAL_WINDOW_HPP_BASE,immigration_wait_p95_seconds,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0.0753882591,0.164597366099,0.0520502573737,0.95,-0.0423576034433,0.193134121643,COMPLETE
1.0,AUTO_HTX_TRIAL_U50_M60,LOCAL_WINDOW_HPP_BASE,total_queue_wait_exceed_600_rate,MEAN_OF_REPLICATION_LEVEL_METRIC,10,0,0,0,0.95,0,0,COMPLETE
