schema_version,study_id,study_cell_id,metric,difference_direction,comparison_method,pooled_replay_status,replay_validation_scope,crn_status,n_scenario,n_reference,difference_mean,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,analysis_status
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,total_queue_wait_p95_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,7.580189850019999,0.3042152690543854,49.0,0.95,6.968846378571698,8.1915333214683,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,peak_security_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,0.4,0.10690449676496976,49.0,0.95,0.18516737056335394,0.6148326294366461,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,peak_immigration_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,0.32,0.17247300883184652,49.0,0.95,-0.026597487621651317,0.6665974876216514,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,peak_total_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,1.78,0.21436189122174507,49.0,0.95,1.3492236516165894,2.2107763483834106,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,peak_security_lane_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,0.0,0.0,49.0,0.95,0.0,0.0,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,peak_immigration_lane_waiting_queue,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,0.0,0.0,49.0,0.95,0.0,0.0,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,security_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,76.88529980444002,5.205186466910923,49.0,0.95,66.4250859758956,87.34551363298445,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,immigration_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,110.15372586487993,3.5965321916460353,49.0,0.95,102.92622383300991,117.38122789674995,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,total_fragmentation_seconds,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,187.03902566931995,8.33343303736316,49.0,0.95,170.29236499716023,203.78568634147967,COMPLETE_CONDITIONAL_COUNTERFACTUAL
1.0,TASK3_QUEUE_LAYOUT_REPLAY_REFERENCE_SCALE_V1,REFERENCE_SCALE,security_fragmentation_fraction,SEPARATE_MINUS_POOLED,PAIRED_STUDENT_T,PASS,EXACT_AGAINST_ANYLOGIC_TIMESTAMPS_AND_REGISTERED_P95,PASS,50,50,0.23480260494837318,0.015701033198893148,49.0,0.95,0.20325019743453343,0.26635501246221294,COMPLETE_CONDITIONAL_COUNTERFACTUAL
