schema_version,study_id,security_service_cv,immigration_service_cv,scenario_id,reference_scenario_id,metric,difference_direction,comparison_method,n_pairs,difference_mean,standard_deviation,standard_error,degrees_of_freedom,ci_level,ci_low,ci_high,crn_alignment_status,analysis_role
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.68311477214,1.20608374889,0.170565999504,49,0.95,0.340349563241,1.02587998104,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,total_queue_wait_mean_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.133733078137,0.303717905587,0.0429521981217,49,0.95,0.047417404411,0.220048751862,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,security_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,immigration_wait_p95_seconds,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.7907165189,1.18046891896,0.166943515516,49,0.95,0.45523096412,1.12620207368,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0,0,0,49,0.95,0,0,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.76,2.32607227852,0.328956296334,49,0.95,1.09893757279,2.42106242721,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,peak_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,1.08,2.33727558128,0.330540682605,49,0.95,0.415753629373,1.74424637063,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_security_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,7.1054273576e-17,3.84435528682e-16,5.4367393852e-17,49,0.95,-3.82010948162e-17,1.80309641968e-16,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_immigration_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.140781207866,0.409369790474,0.0578936309714,49,0.95,0.024439600678,0.257122815053,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
1.0,TASK3_SERVICE_VARIABILITY_SENSITIVITY_V1,0,0.5,SERVICE_VARIABILITY_SCV000_ICV050,SERVICE_VARIABILITY_SCV000_ICV000,time_weighted_mean_total_waiting_queue,CELL_MINUS_CV_ZERO_REFERENCE,PAIRED_STUDENT_T,50,0.140781207866,0.409369790474,0.0578936309714,49,0.95,0.024439600678,0.257122815053,PASS,DESCRIPTIVE_EXPLORATORY_CONTRAST
